citeseerx
20
spatial_range	time	true_count	access_count
1.0E-4	240	24	410484
0.001	229	26	42078
0.01	154	35	6079
0.1	64	50	1489
1.0	9	63	26

40
spatial_range	time	true_count	access_count
1.0E-4	226	25	293459
0.001	204	25	52243
0.01	152	37	6557
0.1	47	48	1351
1.0	10	62	45

60
spatial_range	time	true_count	access_count
1.0E-4	210	24	747616
0.001	216	26	64340
0.01	154	34	7918
0.1	63	44	1690
1.0	9	62	95

80
spatial_range	time	true_count	access_count
1.0E-4	214	24	1112483
0.001	218	24	130510
0.01	168	27	9679
0.1	139	44	3446
1.0	27	58	274


go_uniprot
20
spatial_range	time	true_count	access_count
1.0E-4	44	0	13306
0.001	43	16	12976
0.01	36	108	10558
0.1	22	394	3816
1.0	9	500	87

40
spatial_range	time	true_count	access_count
1.0E-4	42	0	13306
0.001	39	8	13197
0.01	40	52	12146
0.1	22	353	4766
1.0	10	500	287

60
spatial_range	time	true_count	access_count
1.0E-4	41	0	13306
0.001	46	5	13239
0.01	42	61	11953
0.1	25	311	6096
1.0	11	493	640

80
spatial_range	time	true_count	access_count
1.0E-4	43	0	13306
0.001	41	2	13278
0.01	39	20	12574
0.1	35	141	9909
1.0	16	402	2429


Patents
20
spatial_range	time	true_count	access_count
1.0E-4	3039	38	401258
0.001	322	83	112480
0.01	61	135	17876
0.1	17	221	2529
1.0	10	266	70

40
spatial_range	time	true_count	access_count
1.0E-4	1969	18	479047
0.001	415	78	134338
0.01	85	135	22886
0.1	19	212	2981
1.0	10	264	158

60
spatial_range	time	true_count	access_count
1.0E-4	2155	19	480322
0.001	663	57	177731
0.01	110	126	31931
0.1	24	188	4312
1.0	11	256	397

80
spatial_range	time	true_count	access_count
1.0E-4	2885	16	622965
0.001	1068	50	263220
0.01	183	102	54304
0.1	40	160	8010
1.0	12	243	968


uniprotenc_150m
20
spatial_range	time	true_count	access_count
1.0E-4	25	0	674
0.001	13	1	673
0.01	13	1	671
0.1	14	11	648
1.0	10	500	29

40
spatial_range	time	true_count	access_count
1.0E-4	13	0	674
0.001	13	1	673
0.01	13	3	666
0.1	13	9	654
1.0	10	500	66

60
spatial_range	time	true_count	access_count
1.0E-4	13	0	674
0.001	13	0	674
0.01	14	2	670
0.1	13	8	656
1.0	10	500	85

80
spatial_range	time	true_count	access_count
1.0E-4	13	0	674
0.001	13	0	674
0.01	12	2	669
0.1	13	2	670
1.0	13	32	597


